# DRO_SourceID DetLink DetSlot DetCrate DetID DRO_Host DRO_Card DRO_SLR DRO_Link
0 0 0 0 3 pc-tbed-tpu-05001 0 0 0
1 0 1 0 3 pc-tbed-tpu-05001 0 0 1
2 0 2 0 3 pc-tbed-tpu-05001 0 0 2
3 0 3 0 3 pc-tbed-tpu-05001 0 0 3
4 0 4 0 3 pc-tbed-tpu-05001 0 0 4
5 0 5 0 3 pc-tbed-tpu-05001 0 0 5
6 0 6 0 3 pc-tbed-tpu-05001 0 0 6
7 0 7 0 3 pc-tbed-tpu-05001 0 0 7
8 0 8 0 3 pc-tbed-tpu-05001 0 0 8
9 0 9 0 3 pc-tbed-tpu-05001 0 0 9
10 0 10 0 3 pc-tbed-tpu-05001 0 0 10
11 0 11 0 3 pc-tbed-tpu-05001 0 0 11
12 0 0 1 3 pc-tbed-tpu-05001 1 0 0
13 0 1 1 3 pc-tbed-tpu-05001 1 0 1
14 0 2 1 3 pc-tbed-tpu-05001 1 0 2
15 0 3 1 3 pc-tbed-tpu-05001 1 0 3
16 0 4 1 3 pc-tbed-tpu-05001 1 0 4
17 0 5 1 3 pc-tbed-tpu-05001 1 0 5
18 0 6 1 3 pc-tbed-tpu-05001 1 0 6
19 0 7 1 3 pc-tbed-tpu-05001 1 0 7
20 0 8 1 3 pc-tbed-tpu-05001 1 0 8
21 0 9 1 3 pc-tbed-tpu-05001 1 0 9
22 0 10 1 3 pc-tbed-tpu-05001 1 0 10
23 0 11 1 3 pc-tbed-tpu-05001 1 0 11
24 0 0 2 3 pc-tbed-tpu-05002 0 0 0
25 0 1 2 3 pc-tbed-tpu-05002 0 0 1
26 0 2 2 3 pc-tbed-tpu-05002 0 0 2
27 0 3 2 3 pc-tbed-tpu-05002 0 0 3
28 0 4 2 3 pc-tbed-tpu-05002 0 0 4
29 0 5 2 3 pc-tbed-tpu-05002 0 0 5
30 0 6 2 3 pc-tbed-tpu-05002 0 0 6
31 0 7 2 3 pc-tbed-tpu-05002 0 0 7
32 0 8 2 3 pc-tbed-tpu-05002 0 0 8
33 0 9 2 3 pc-tbed-tpu-05002 0 0 9
34 0 10 2 3 pc-tbed-tpu-05002 0 0 10
35 0 11 2 3 pc-tbed-tpu-05002 0 0 11
36 0 0 3 3 pc-tbed-tpu-05002 1 0 0
37 0 1 3 3 pc-tbed-tpu-05002 1 0 1
38 0 2 3 3 pc-tbed-tpu-05002 1 0 2
39 0 3 3 3 pc-tbed-tpu-05002 1 0 3
40 0 4 3 3 pc-tbed-tpu-05002 1 0 4
41 0 5 3 3 pc-tbed-tpu-05002 1 0 5
42 0 6 3 3 pc-tbed-tpu-05002 1 0 6
43 0 7 3 3 pc-tbed-tpu-05002 1 0 7
44 0 8 3 3 pc-tbed-tpu-05002 1 0 8
45 0 9 3 3 pc-tbed-tpu-05002 1 0 9
46 0 10 3 3 pc-tbed-tpu-05002 1 0 10
47 0 11 3 3 pc-tbed-tpu-05002 1 0 11
48 0 0 4 3 pc-tbed-tpu-05003 0 0 0
49 0 1 4 3 pc-tbed-tpu-05003 0 0 1
50 0 2 4 3 pc-tbed-tpu-05003 0 0 2
51 0 3 4 3 pc-tbed-tpu-05003 0 0 3
52 0 4 4 3 pc-tbed-tpu-05003 0 0 4
53 0 5 4 3 pc-tbed-tpu-05003 0 0 5
54 0 6 4 3 pc-tbed-tpu-05003 0 0 6
55 0 7 4 3 pc-tbed-tpu-05003 0 0 7
56 0 8 4 3 pc-tbed-tpu-05003 0 0 8
57 0 9 4 3 pc-tbed-tpu-05003 0 0 9
58 0 10 4 3 pc-tbed-tpu-05003 0 0 10
59 0 11 4 3 pc-tbed-tpu-05003 0 0 11
60 0 0 5 3 pc-tbed-tpu-05003 1 0 0
61 0 1 5 3 pc-tbed-tpu-05003 1 0 1
62 0 2 5 3 pc-tbed-tpu-05003 1 0 2
63 0 3 5 3 pc-tbed-tpu-05003 1 0 3
64 0 4 5 3 pc-tbed-tpu-05003 1 0 4
65 0 5 5 3 pc-tbed-tpu-05003 1 0 5
66 0 6 5 3 pc-tbed-tpu-05003 1 0 6
67 0 7 5 3 pc-tbed-tpu-05003 1 0 7
68 0 8 5 3 pc-tbed-tpu-05003 1 0 8
69 0 9 5 3 pc-tbed-tpu-05003 1 0 9
70 0 10 5 3 pc-tbed-tpu-05003 1 0 10
71 0 11 5 3 pc-tbed-tpu-05003 1 0 11
72 0 0 6 3 pc-tbed-tpu-05004 0 0 0
73 0 1 6 3 pc-tbed-tpu-05004 0 0 1
74 0 2 6 3 pc-tbed-tpu-05004 0 0 2
75 0 3 6 3 pc-tbed-tpu-05004 0 0 3
76 0 4 6 3 pc-tbed-tpu-05004 0 0 4
77 0 5 6 3 pc-tbed-tpu-05004 0 0 5
78 0 6 6 3 pc-tbed-tpu-05004 0 0 6
79 0 7 6 3 pc-tbed-tpu-05004 0 0 7
80 0 8 6 3 pc-tbed-tpu-05004 0 0 8
81 0 9 6 3 pc-tbed-tpu-05004 0 0 9
82 0 10 6 3 pc-tbed-tpu-05004 0 0 10
83 0 11 6 3 pc-tbed-tpu-05004 0 0 11
84 0 0 7 3 pc-tbed-tpu-05004 1 0 0
85 0 1 7 3 pc-tbed-tpu-05004 1 0 1
86 0 2 7 3 pc-tbed-tpu-05004 1 0 2
87 0 3 7 3 pc-tbed-tpu-05004 1 0 3
88 0 4 7 3 pc-tbed-tpu-05004 1 0 4
89 0 5 7 3 pc-tbed-tpu-05004 1 0 5
90 0 6 7 3 pc-tbed-tpu-05004 1 0 6
91 0 7 7 3 pc-tbed-tpu-05004 1 0 7
92 0 8 7 3 pc-tbed-tpu-05004 1 0 8
93 0 9 7 3 pc-tbed-tpu-05004 1 0 9
94 0 10 7 3 pc-tbed-tpu-05004 1 0 10
95 0 11 7 3 pc-tbed-tpu-05004 1 0 11
96 0 0 8 3 pc-tbed-tpu-05005 0 0 0
97 0 1 8 3 pc-tbed-tpu-05005 0 0 1
98 0 2 8 3 pc-tbed-tpu-05005 0 0 2
99 0 3 8 3 pc-tbed-tpu-05005 0 0 3
100 0 4 8 3 pc-tbed-tpu-05005 0 0 4
101 0 5 8 3 pc-tbed-tpu-05005 0 0 5
102 0 6 8 3 pc-tbed-tpu-05005 0 0 6
103 0 7 8 3 pc-tbed-tpu-05005 0 0 7
104 0 8 8 3 pc-tbed-tpu-05005 0 0 8
105 0 9 8 3 pc-tbed-tpu-05005 0 0 9
